Year,Administrative Services,Support Services,Nursing Inpatient Services,Intensive Care Nursing Unit,Operating Room,Long-Term Care Nursing Unit,Emergency,Other Ambulatory Care Services,Medical Imaging,Other Diagnostic and Therapeutic,Community Health Services,"Research, Education 
and Other ",Total
2005–2006 ,,,,,,,,,,,,,
2006–2007 ,3.2,1.5,1.2,2.2,2.3,-0.7,3.9,1.3,0.6,1.6,-2.6,-14.9,0
2007–2008,0,0.2,0.9,1,1.3,-4.3,3,2.4,-2.1,-1.9,-2.1,-0.9,0
2008–2009 ,0.6,0.2,-1.4,-0.3,-1,-2.2,0.3,-0.1,1.3,0.2,2.9,2.9,0
2009–2010,-2.5,-1.1,-0.4,-0.8,8.8,-20,1.5,-8.3,-6.9,3,32.8,6,0
2010–2011 ,-6.2,0.1,0.3,-1,0.1,0.5,0.1,2.5,2,-2.4,2.2,3.3,0
2011–2012,-0.1,0.7,0.6,-0.7,-0.4,-5.1,1.7,1.6,-3.7,-0.4,-7.3,3.1,0
2012–2013 ,-1.1,0.1,0.5,0.5,-0.9,-6,-0.2,-2.8,-1.6,-0.2,-1.2,5.9,0
2013–2014,-2.6,0.7,-1,-1.8,0.3,-9.5,2.2,0.7,-1.1,1.1,7.8,0.7,0
2014–2015,-2.4,-0.5,-0.3,0.8,-1.2,-5.1,1.2,1.1,-0.5,0,3.5,2.3,0
2015–2016,-0.4,0.4,-0.5,-0.5,-1.4,-2.6,0.5,1.5,-0.2,1.4,4.4,-2.4,0
2016–2017,0.6,-0.2,-0.9,-0.3,-0.1,-5.4,1.3,1.5,0.1,-2.1,1.5,4.1,0
2017–2018,-1.2,-1.6,-0.8,-0.1,-0.2,-1.3,0.4,0.9,-1.8,0.7,1.7,4,0
2018–2019,1.2,0.2,0.1,-0.2,1.4,-2.7,0.2,1,-0.3,-2,4.2,-1.2,0
2019–2020,-3.9,-1,-0.9,0.1,-1.4,0.1,0.9,3.7,0.9,1.3,-3.3,2.1,0
2020–2021,5.2,2.8,-0.9,0.7,-8.6,0.1,1,-1,-3.9,-2.1,16.1,-1.1,0
2021–2022,-2.8,-0.4,-0.3,3.6,1.1,1.3,-0.1,-0.2,0.9,0.5,7.5,-3.7,0
2022–2023,1.1,1,2.1,-4.5,6.3,-5.2,3.5,1.5,-1.4,-3.4,-7.6,-1.4,0
