Year,Administrative Services,Support Services,Nursing Inpatient Services,Intensive Care Nursing Unit,Operating Room,Long-Term Care Nursing Unit,Emergency,Other Ambulatory Care Services,Medical Imaging,Other Diagnostic and Therapeutic,Community Health Services,"Research, Education 
and Other ",Total
2005–2006 ,5.7,18,19.7,4.6,6.4,4.1,3.8,8,5.3,13,2.5,9,100
2006–2007 ,5.8,18.2,19.9,4.7,6.5,4,4,8.2,5.3,13.2,2.4,7.7,100
2007–2008,5.8,18.3,20.1,4.8,6.6,3.9,4.1,8.3,5.2,13,2.4,7.6,100
2008–2009 ,5.9,18.3,19.8,4.8,6.6,3.8,4.1,8.3,5.3,13,2.4,7.8,100
2009–2010,5.7,18.1,19.7,4.7,7.1,3,4.1,7.6,4.9,13.4,3.2,8.3,100
2010–2011 ,5.4,18.1,19.8,4.7,7.1,3,4.2,7.8,5,13,3.3,8.6,100
2011–2012,5.4,18.2,19.9,4.6,7.1,2.9,4.2,8,4.8,13,3.1,8.8,100
2012–2013 ,5.3,18.3,20,4.7,7,2.7,4.2,7.7,4.8,13,3,9.3,100
2013–2014,5.2,18.4,19.8,4.6,7.1,2.5,4.3,7.8,4.7,13.1,3.3,9.4,100
2014–2015,5.1,18.3,19.7,4.6,7,2.3,4.4,7.9,4.7,13.1,3.4,9.6,100
2015–2016,5,18.3,19.6,4.6,6.9,2.3,4.4,8,4.7,13.3,3.5,9.4,100
2016–2017,5.1,18.3,19.4,4.6,6.9,2.1,4.4,8.1,4.7,13,3.6,9.8,100
2017–2018,5,18,19.3,4.6,6.9,2.1,4.5,8.2,4.6,13.1,3.6,10.2,100
2018–2019,5.1,18.1,19.3,4.6,7,2.1,4.5,8.3,4.6,12.8,3.8,10,100
2019–2020,4.9,17.9,19.1,4.6,6.9,2.1,4.5,8.6,4.6,13,3.7,10.3,100
2020–2021,5.1,18.4,19,4.6,6.3,2.1,4.6,8.5,4.5,12.7,4.2,10.1,100
2021–2022,5,18.3,18.9,4.8,6.3,2.1,4.5,8.5,4.5,12.8,4.6,9.8,100
2022–2023,5,18.5,19.3,4.5,6.7,2,4.7,8.6,4.4,12.4,4.2,9.6,100
