Year,Administrative Services,Support Services,Nursing Inpatient Services,Intensive Care Nursing Unit,Operating Room,Long-Term Care Nursing Unit,Emergency,Other Ambulatory Care Services,Medical Imaging,Other Diagnostic and Therapeutic,Community Health Services,"Research, Education 
and Other ",Total
2005–2006 ,1776.3,5631.5,6164.1,1449,2006.7,1273,1195.5,2524.5,1666.6,4081,774.9,2822.9,31366
2006–2007 ,1936.8,6037.6,6591.1,1564.6,2167.9,1335.9,1312.1,2700.9,1771.1,4379.5,797.6,2539.1,33134
2007–2008,2075.3,6484.2,7127,1693.3,2353.8,1369.6,1448.1,2963.4,1857.6,4605.4,837.2,2695.8,35510.7
2008–2009 ,2230.3,6937.3,7507.7,1802.6,2490.3,1430.8,1551.1,3161.7,2010.6,4927.2,920.4,2962,37932.2
2009–2010,2295,7242.2,7890.5,1886.9,2859.4,1209,1661.4,3059.7,1976.6,5356.1,1290.4,3315.6,40042.8
2010–2011 ,2223.3,7486.7,8177,1929.2,2955.5,1255.2,1718.5,3239.7,2082.6,5397.4,1362.3,3537.8,41365.3
2011–2012,2308.2,7834.3,8548.7,1991.3,3057.8,1238.1,1815.5,3419.3,2083.5,5588.8,1311.9,3788.6,42985.9
2012–2013 ,2367.6,8133.9,8907,2075,3140.9,1206.5,1879.1,3444.1,2126,5780.5,1344.4,4159.6,44564.7
2013–2014,2375.6,8438.2,9086.7,2099.8,3245.4,1125.2,1978.3,3572.9,2167.2,6021,1493.6,4317.3,45921.3
2014–2015,2389.8,8648.2,9334.4,2181.4,3304.6,1100.7,2063.4,3722.3,2222.1,6201.5,1593.2,4551.1,47312.6
2015–2016,2441,8899,9521.3,2224.2,3341.5,1099.2,2125.4,3874.8,2272.5,6448.2,1704.8,4552.8,48504.6
2016–2017,2503.7,9052.3,9617.9,2261,3402.7,1059.7,2194.2,4010,2318.3,6433.5,1764.3,4832.7,49450.4
2017–2018,2559.9,9226.2,9876.9,2338.8,3515.6,1082.4,2281.3,4187.5,2356.7,6708.9,1858.2,5204.9,51197.2
2018–2019,2675,9540.3,10206.4,2408.6,3677.5,1087.4,2359.1,4366.3,2424.9,6786.4,1998.4,5309.5,52839.9
2019–2020,2681.1,9853.1,10548.7,2515.2,3781.5,1134.9,2482.9,4725.2,2552.8,7168.6,2016.3,5657.2,55117.6
2020–2021,3015.6,10825.7,11169.2,2706.1,3692.5,1214.1,2681.4,4999.6,2621.5,7502.3,2500.8,5976.8,58905.7
2021–2022,3108.1,11427.6,11801.3,2971.4,3957.4,1303.8,2840.5,5288,2805.2,7993.7,2850.5,6101.7,62449.2
2022–2023,3351.1,12304.6,12841.6,3024.7,4483.8,1317.3,3133.3,5723.4,2950.4,8231.4,2809.6,6414.5,66585.5
