Year,Administrative Services,Support Services,Nursing Inpatient Services,Intensive Care Nursing Unit,Operating Room,Long-Term Care Nursing Unit,Emergency,Other Ambulatory Care Services,Medical Imaging,Other Diagnostic and Therapeutic,Community Health Services,"Research, Education 
and Other ",Total
2005–2006 ,,,,,,,,,,,,,
2006–2007 ,9,7.2,6.9,8,8,4.9,9.7,7,6.3,7.3,2.9,-10.1,5.6
2007–2008,7.2,7.4,8.1,8.2,8.6,2.5,10.4,9.7,4.9,5.2,5,6.2,7.2
2008–2009 ,7.5,7,5.3,6.5,5.8,4.5,7.1,6.7,8.2,7,9.9,9.9,6.8
2009–2010,2.9,4.4,5.1,4.7,14.8,-15.5,7.1,-3.2,-1.7,8.7,40.2,11.9,5.6
2010–2011 ,-3.1,3.4,3.6,2.2,3.4,3.8,3.4,5.9,5.4,0.8,5.6,6.7,3.3
2011–2012,3.8,4.6,4.5,3.2,3.5,-1.4,5.6,5.5,0,3.5,-3.7,7.1,3.9
2012–2013 ,2.6,3.8,4.2,4.2,2.7,-2.5,3.5,0.7,2,3.4,2.5,9.8,3.7
2013–2014,0.3,3.7,2,1.2,3.3,-6.7,5.3,3.7,1.9,4.2,11.1,3.8,3
2014–2015,0.6,2.5,2.7,3.9,1.8,-2.2,4.3,4.2,2.5,3,6.7,5.4,3
2015–2016,2.1,2.9,2,2,1.1,-0.1,3,4.1,2.3,4,7,0,2.5
2016–2017,2.6,1.7,1,1.7,1.8,-3.6,3.2,3.5,2,-0.2,3.5,6.1,1.9
2017–2018,2.2,1.9,2.7,3.4,3.3,2.1,4,4.4,1.7,4.3,5.3,7.7,3.5
2018–2019,4.5,3.4,3.3,3,4.6,0.5,3.4,4.3,2.9,1.2,7.5,2,3.2
2019–2020,0.2,3.3,3.4,4.4,2.8,4.4,5.2,8.2,5.3,5.6,0.9,6.5,4.3
2020–2021,12.5,9.9,5.9,7.6,-2.4,7,8,5.8,2.7,4.7,24,5.6,6.9
2021–2022,3.1,5.6,5.7,9.8,7.2,7.4,5.9,5.8,7,6.6,14,2.1,6
2022–2023,7.8,7.7,8.8,1.8,13.3,1,10.3,8.2,5.2,3,-1.4,5.1,6.6
