Year,Administrative Services,Support Services,Nursing Inpatient Services,Intensive Care Nursing Unit,Operating Room,Long-Term Care Nursing Unit,Emergency,Other Ambulatory Care Services,Medical Imaging,Other Diagnostic and Therapeutic,Community Health Services,"Research, Education 
and Other ",Total
2005–2006 ,,,,,,,,,,,,,
2006–2007 ,2.9,-1.1,0,1.9,1.9,-2.8,1.3,0.3,0,-0.2,0.3,-1.9,0
2007–2008,0.3,-1.2,0.6,2.1,0.4,-1.9,1.5,4,-2.6,-2.1,1.1,0,0
2008–2009 ,0.4,0,-2.2,-1.7,-2.6,1.1,-1.2,-2.5,0.1,2.3,0.3,6.2,0
2009–2010,1.7,-0.1,0.3,-1.1,12.2,-21.3,3,-11,-0.8,0.1,28.8,0.3,0
2010–2011 ,-2,0.1,0.6,-5.1,0.1,-3.6,1.8,1.3,-1.4,-0.1,2.4,2,0
2011–2012,-2.6,0.2,-0.2,0.2,-0.3,-0.5,-0.2,-0.3,-2.4,-1.2,-1,5.8,0
2012–2013 ,-1.8,0,-0.6,-0.6,-1.8,-1.9,-1.1,1.7,-1.4,-0.3,0.9,4.2,0
2013–2014,-1,0.2,-1.1,-3.5,-0.4,-3.6,0.7,-0.4,-0.9,0.8,4.2,3.1,0
2014–2015,-3.2,-1.7,-0.6,-0.8,-1,-3.5,0.7,2.7,-0.7,0.5,3.9,3.3,0
2015–2016,-0.2,-0.5,-1.8,-0.7,-2.3,-1.9,-0.9,0.6,-1.1,0,0.2,6,0
2016–2017,-0.9,0.7,0.1,-0.4,0.2,-2.1,0.7,-1.7,0,0.6,2.1,-0.5,0
2017–2018,0.3,-1.9,-0.4,0.6,-0.6,-3.2,1,0.6,-0.9,-0.3,2.1,3.1,0
2018–2019,-0.7,-0.8,1.1,0.1,0.5,-2,-0.2,2,-0.7,-0.4,2.4,-1.6,0
2019–2020,-1.7,-2,-1,0.5,-2.1,-1.1,0.4,4.4,-0.7,-0.5,0.9,3.3,0
2020–2021,8.8,9,-2.4,0.7,-11.9,-1.1,-3.8,-3.1,-6.1,-4.1,26.8,-5.7,0
2021–2022,-3.2,-2.9,-0.2,1.7,2.4,1.2,-0.5,0.9,2.3,0.3,6.8,-0.7,0
2022–2023,-1.7,-3.5,3,-4.1,7.4,-2.7,5.3,3.1,-1.7,-3.2,-10,5.1,0
