Year,Administrative Services,Support Services,Nursing Inpatient Services,Intensive Care Nursing Unit,Operating Room,Long-Term Care Nursing Unit,Emergency,Other Ambulatory Care Services,Medical Imaging,Other Diagnostic and Therapeutic,Community Health Services,"Research, Education 
and Other ",Total
2005–2006 ,6.3,17.5,18.2,5,6.2,3.8,3.9,8.8,6,12.5,2.8,9.1,100
2006–2007 ,6.5,17.3,18.2,5.1,6.3,3.7,4,8.8,6,12.4,2.8,8.9,100
2007–2008,6.5,17.1,18.3,5.2,6.3,3.6,4.1,9.1,5.8,12.2,2.8,8.9,100
2008–2009 ,6.5,17.1,17.9,5.1,6.2,3.7,4,8.9,5.8,12.5,2.8,9.5,100
2009–2010,6.7,17.1,17.9,5.1,6.9,2.9,4.1,7.9,5.8,12.5,3.6,9.5,100
2010–2011 ,6.5,17.1,18,4.8,6.9,2.8,4.2,8,5.7,12.5,3.7,9.7,100
2011–2012,6.4,17.1,18,4.8,6.9,2.8,4.2,8,5.5,12.3,3.7,10.2,100
2012–2013 ,6.2,17.1,17.9,4.8,6.8,2.7,4.2,8.1,5.5,12.3,3.7,10.7,100
2013–2014,6.2,17.2,17.7,4.6,6.8,2.6,4.2,8.1,5.4,12.4,3.9,11,100
2014–2015,6,16.9,17.6,4.6,6.7,2.5,4.2,8.3,5.4,12.4,4,11.4,100
2015–2016,6,16.8,17.3,4.6,6.5,2.5,4.2,8.4,5.3,12.4,4,12,100
2016–2017,5.9,16.9,17.3,4.5,6.6,2.4,4.2,8.2,5.3,12.5,4.1,12,100
2017–2018,5.9,16.6,17.2,4.6,6.5,2.4,4.3,8.3,5.3,12.5,4.2,12.3,100
2018–2019,5.9,16.5,17.4,4.6,6.6,2.3,4.2,8.4,5.2,12.4,4.3,12.2,100
2019–2020,5.8,16.1,17.2,4.6,6.4,2.3,4.3,8.8,5.2,12.4,4.3,12.6,100
2020–2021,6.3,17.6,16.8,4.6,5.7,2.3,4.1,8.5,4.9,11.9,5.5,11.8,100
2021–2022,6.1,17.1,16.8,4.7,5.8,2.3,4.1,8.6,5,11.9,5.9,11.8,100
2022–2023,6,16.5,17.3,4.5,6.2,2.2,4.3,8.9,4.9,11.5,5.3,12.4,100
